Date,Product,Category,Region,Salesperson,Sales Amount
2024-07-27,Product A,Clothing,North,Raj,21688
2024-07-28,Product B,Books,West,Raj,18149
2024-07-29,Product C,Books,West,Mike,14222
2024-07-30,Product A,Electronics,West,Raj,13660
2024-07-31,Product E,Clothing,North,Nina,6193
2024-08-01,Product D,Electronics,East,Raj,8633
2024-08-02,Product E,Electronics,South,Nina,9315
2024-08-03,Product C,Appliances,West,Sara,20128
2024-08-04,Product E,Appliances,East,Nina,13666
2024-08-05,Product B,Clothing,East,Sara,6891
2024-08-06,Product E,Books,East,Tom,13631
2024-08-07,Product D,Books,East,Emily,9031
2024-08-08,Product C,Appliances,South,Mike,18441
2024-08-09,Product A,Electronics,South,Emily,11602
2024-08-10,Product A,Books,North,Mike,6799
2024-08-11,Product E,Clothing,North,Emily,23279
2024-08-12,Product D,Furniture,West,Emily,10959
2024-08-13,Product A,Clothing,North,Raj,21531
2024-08-14,Product B,Books,East,Alice,7279
2024-08-15,Product D,Furniture,South,Raj,18231
2024-08-16,Product B,Clothing,North,Mike,19455
2024-08-17,Product C,Electronics,North,John,12219
2024-08-18,Product D,Electronics,North,John,6330
2024-08-19,Product B,Appliances,West,Nina,21767
2024-08-20,Product A,Books,South,Nina,8154
2024-08-21,Product C,Electronics,West,Emily,21035
2024-08-22,Product D,Books,East,Sara,9043
2024-08-23,Product A,Appliances,East,Sara,18031
2024-08-24,Product A,Electronics,South,Sara,8201
2024-08-25,Product C,Furniture,East,Nina,8010
2024-08-26,Product D,Furniture,West,Raj,23529
2024-08-27,Product D,Electronics,South,Mike,16190
2024-08-28,Product C,Furniture,East,Mike,5466
2024-08-29,Product A,Clothing,East,Mike,16733
2024-08-30,Product A,Clothing,East,Raj,18398
2024-08-31,Product A,Electronics,West,John,11061
2024-09-01,Product D,Books,South,Tom,20195
2024-09-02,Product E,Books,North,Nina,21823
2024-09-03,Product C,Appliances,North,Mike,14881
2024-09-04,Product C,Clothing,South,Alice,11982
2024-09-05,Product E,Clothing,West,Tom,21718
2024-09-06,Product C,Appliances,South,Tom,6395
2024-09-07,Product A,Books,West,Emily,18364
2024-09-08,Product B,Appliances,East,Sara,8568
2024-09-09,Product B,Electronics,East,John,18144
2024-09-10,Product C,Clothing,South,Sara,24265
2024-09-11,Product D,Books,West,Sara,13003
2024-09-12,Product C,Furniture,North,John,13067
2024-09-13,Product C,Appliances,West,Nina,22589
2024-09-14,Product D,Appliances,South,Alice,6528
2024-09-15,Product A,Clothing,East,Raj,11206
2024-09-16,Product E,Furniture,North,Mike,15517
2024-09-17,Product B,Furniture,North,Emily,13336
2024-09-18,Product D,Books,West,Tom,9959
2024-09-19,Product C,Appliances,North,John,13352
2024-09-20,Product D,Clothing,South,Tom,5458
2024-09-21,Product B,Books,South,Nina,17867
2024-09-22,Product C,Books,East,Sara,19085
2024-09-23,Product C,Clothing,North,Emily,16792
2024-09-24,Product E,Appliances,South,Alice,12204
2024-09-25,Product B,Clothing,South,Mike,11562
2024-09-26,Product D,Clothing,West,Emily,21325
2024-09-27,Product B,Electronics,North,Mike,24962
2024-09-28,Product C,Books,East,Emily,11308
2024-09-29,Product C,Appliances,East,Mike,5399
2024-09-30,Product B,Electronics,East,Mike,12888
2024-10-01,Product C,Books,East,Mike,13424
2024-10-02,Product B,Appliances,West,Mike,20265
2024-10-03,Product E,Appliances,West,Raj,22272
2024-10-04,Product B,Books,East,Tom,10088
2024-10-05,Product A,Furniture,North,Nina,17671
2024-10-06,Product B,Furniture,South,Sara,11246
2024-10-07,Product D,Books,East,Mike,19835
2024-10-08,Product B,Books,North,Mike,6586
2024-10-09,Product D,Furniture,East,Nina,6689
2024-10-10,Product A,Appliances,West,Alice,17748
2024-10-11,Product D,Clothing,South,John,9598
2024-10-12,Product A,Furniture,East,Nina,20904
2024-10-13,Product C,Clothing,South,Alice,23608
2024-10-14,Product A,Clothing,West,John,24239
2024-10-15,Product B,Clothing,South,Sara,17632
2024-10-16,Product A,Books,West,Emily,20570
2024-10-17,Product B,Appliances,East,Alice,21171
2024-10-18,Product E,Appliances,South,Raj,10803
2024-10-19,Product C,Furniture,East,Emily,17517
2024-10-20,Product E,Furniture,East,Raj,10500
2024-10-21,Product E,Furniture,North,Tom,8234
2024-10-22,Product B,Appliances,South,Mike,13838
2024-10-23,Product E,Clothing,South,Raj,21650
2024-10-24,Product E,Appliances,West,Raj,20597
2024-10-25,Product C,Clothing,East,Tom,13353
2024-10-26,Product D,Books,West,Mike,18817
2024-10-27,Product C,Electronics,South,Mike,22611
2024-10-28,Product C,Books,North,Tom,15845
2024-10-29,Product C,Electronics,North,Alice,7288
2024-10-30,Product E,Furniture,East,Raj,10194
2024-10-31,Product B,Electronics,North,John,11945
2024-11-01,Product E,Appliances,West,Alice,22738
2024-11-02,Product B,Books,South,Raj,24651
2024-11-03,Product A,Books,North,Alice,16984
2024-11-04,Product B,Appliances,West,Emily,11659
2024-11-05,Product A,Books,North,John,12494
2024-11-06,Product C,Furniture,North,Tom,17004
2024-11-07,Product A,Electronics,West,Emily,19204
2024-11-08,Product A,Books,East,Nina,5812
2024-11-09,Product D,Books,South,Tom,21056
2024-11-10,Product A,Clothing,West,Mike,22285
2024-11-11,Product C,Electronics,West,Mike,18692
2024-11-12,Product A,Furniture,East,Alice,22969
2024-11-13,Product B,Books,West,Mike,7900
2024-11-14,Product B,Furniture,North,Emily,5252
2024-11-15,Product C,Appliances,North,Alice,8807
2024-11-16,Product A,Clothing,East,Sara,8419
2024-11-17,Product A,Electronics,North,Emily,7798
2024-11-18,Product D,Books,West,John,21399
2024-11-19,Product A,Furniture,East,Sara,10173
2024-11-20,Product A,Appliances,South,John,9746
2024-11-21,Product C,Electronics,North,Emily,6990
2024-11-22,Product D,Clothing,South,Mike,20442
2024-11-23,Product D,Electronics,East,Tom,16297
2024-11-24,Product B,Clothing,North,Raj,16623
2024-11-25,Product D,Clothing,South,Nina,7332
2024-11-26,Product E,Books,West,Emily,23707
2024-11-27,Product E,Books,South,Mike,16638
2024-11-28,Product B,Books,North,John,13904
2024-11-29,Product E,Electronics,South,Mike,21265
2024-11-30,Product A,Books,North,Tom,19495
2024-12-01,Product E,Furniture,West,Raj,21418
2024-12-02,Product C,Electronics,East,Alice,8212
2024-12-03,Product A,Appliances,North,Mike,6066
2024-12-04,Product E,Appliances,South,John,14982
2024-12-05,Product D,Appliances,South,John,7232
2024-12-06,Product C,Furniture,West,Tom,5983
2024-12-07,Product A,Appliances,West,Tom,8188
2024-12-08,Product B,Books,East,Emily,6282
2024-12-09,Product E,Appliances,South,Raj,21314
2024-12-10,Product A,Furniture,North,John,9941
2024-12-11,Product B,Clothing,North,Nina,17989
2024-12-12,Product E,Books,West,Alice,11177
2024-12-13,Product A,Electronics,East,Sara,22906
2024-12-14,Product C,Furniture,East,Emily,17041
2024-12-15,Product A,Appliances,West,Emily,11947
2024-12-16,Product B,Books,North,John,12662
2024-12-17,Product A,Clothing,North,Sara,14466
2024-12-18,Product C,Appliances,North,Tom,10070
2024-12-19,Product C,Clothing,South,Alice,12685
2024-12-20,Product B,Appliances,East,Emily,18672
2024-12-21,Product A,Appliances,South,Alice,23445
2024-12-22,Product C,Appliances,East,Nina,6014
2024-12-23,Product C,Clothing,South,Mike,8585
2024-12-24,Product B,Clothing,West,Sara,10749
2024-12-25,Product A,Appliances,East,Mike,15177
2024-12-26,Product D,Furniture,West,Sara,7454
2024-12-27,Product D,Appliances,East,Sara,12373
2024-12-28,Product D,Books,South,Sara,24740
2024-12-29,Product A,Appliances,South,Sara,10725
2024-12-30,Product A,Appliances,West,Nina,11843
2024-12-31,Product C,Clothing,North,Sara,24073
2025-01-01,Product A,Books,East,Sara,19003
2025-01-02,Product C,Books,East,Tom,7896
2025-01-03,Product E,Furniture,East,Raj,24195
2025-01-04,Product A,Appliances,East,Raj,24389
2025-01-05,Product B,Clothing,West,Raj,15929
2025-01-06,Product D,Appliances,North,Nina,22642
2025-01-07,Product B,Electronics,North,John,7095
2025-01-08,Product E,Electronics,East,John,9976
2025-01-09,Product A,Electronics,North,Sara,9083
2025-01-10,Product E,Appliances,South,Emily,5254
2025-01-11,Product D,Books,North,Raj,24636
2025-01-12,Product D,Electronics,North,Emily,17134
2025-01-13,Product E,Electronics,West,Nina,16899
2025-01-14,Product D,Appliances,North,Tom,14427
2025-01-15,Product B,Appliances,North,Raj,8463
2025-01-16,Product D,Electronics,West,Emily,22186
2025-01-17,Product D,Clothing,West,Tom,19821
2025-01-18,Product D,Electronics,North,Raj,15544
2025-01-19,Product A,Clothing,East,Tom,17947
2025-01-20,Product D,Clothing,North,Nina,6475
2025-01-21,Product B,Clothing,North,Alice,20718
2025-01-22,Product D,Appliances,North,Nina,23823
2025-01-23,Product C,Furniture,West,Sara,17622
2025-01-24,Product B,Appliances,North,Raj,14441
2025-01-25,Product B,Appliances,South,Mike,22612
2025-01-26,Product E,Clothing,South,Raj,5292
2025-01-27,Product A,Furniture,North,Raj,7733
2025-01-28,Product A,Books,North,Tom,19213
2025-01-29,Product A,Appliances,North,Tom,12665
2025-01-30,Product B,Appliances,North,Raj,16500
2025-01-31,Product C,Appliances,South,Tom,19245
2025-02-01,Product E,Clothing,West,Tom,10411
2025-02-02,Product D,Clothing,East,Sara,13157
2025-02-03,Product C,Clothing,West,Sara,19469
2025-02-04,Product A,Electronics,West,Alice,13429
2025-02-05,Product D,Books,East,Raj,7492
2025-02-06,Product B,Clothing,East,Tom,24337
2025-02-07,Product B,Electronics,West,Nina,22651
2025-02-08,Product B,Books,West,Sara,14033
2025-02-09,Product C,Books,North,Sara,22197
2025-02-10,Product C,Furniture,West,Tom,17921
2025-02-11,Product D,Books,North,Alice,18239
2025-02-12,Product B,Electronics,East,Alice,22860
2025-02-13,Product B,Clothing,South,Sara,20657
2025-02-14,Product E,Electronics,West,Raj,14215
2025-02-15,Product C,Clothing,South,Tom,15919
2025-02-16,Product D,Furniture,North,Raj,8768
2025-02-17,Product E,Electronics,North,Tom,8180
2025-02-18,Product E,Appliances,East,Mike,10042
2025-02-19,Product D,Electronics,East,Raj,5400
2025-02-20,Product E,Appliances,North,Raj,6636
2025-02-21,Product C,Books,South,Nina,18160
2025-02-22,Product E,Appliances,North,Alice,21291
2025-02-23,Product B,Furniture,North,John,8408
2025-02-24,Product C,Books,North,John,23761
2025-02-25,Product C,Furniture,East,Alice,7616
2025-02-26,Product D,Furniture,North,Emily,21945
2025-02-27,Product A,Appliances,North,Raj,16189
2025-02-28,Product D,Books,West,Raj,6569
2025-03-01,Product A,Appliances,North,Sara,18930
2025-03-02,Product D,Clothing,East,Tom,14251
2025-03-03,Product C,Books,West,Tom,10451
2025-03-04,Product A,Furniture,North,Sara,7983
2025-03-05,Product B,Appliances,South,Tom,23795
2025-03-06,Product A,Electronics,West,Alice,16610
2025-03-07,Product C,Books,North,Raj,9271
2025-03-08,Product A,Appliances,East,Alice,8380
2025-03-09,Product A,Appliances,South,Mike,5618
2025-03-10,Product A,Clothing,East,Emily,22559
2025-03-11,Product B,Appliances,West,Raj,17100
2025-03-12,Product D,Clothing,West,Nina,13706
2025-03-13,Product D,Furniture,East,Sara,22676
2025-03-14,Product A,Electronics,North,Sara,15186
2025-03-15,Product A,Appliances,North,Raj,6525
2025-03-16,Product B,Clothing,North,Sara,12002
2025-03-17,Product B,Clothing,East,Alice,20031
2025-03-18,Product C,Clothing,South,Nina,23328
2025-03-19,Product A,Furniture,East,John,12710
2025-03-20,Product E,Furniture,North,John,9088
2025-03-21,Product E,Furniture,West,John,18397
2025-03-22,Product C,Furniture,North,Mike,19294
2025-03-23,Product A,Clothing,South,Tom,6575
2025-03-24,Product D,Appliances,North,Mike,12076
2025-03-25,Product A,Clothing,West,Sara,11698
2025-03-26,Product C,Clothing,West,Alice,16021
2025-03-27,Product C,Electronics,East,Tom,5093
2025-03-28,Product B,Books,East,Alice,5460
2025-03-29,Product B,Electronics,North,Nina,5622
2025-03-30,Product B,Furniture,North,Raj,16132
2025-03-31,Product D,Electronics,East,Raj,5787
2025-04-01,Product D,Electronics,West,John,15063
2025-04-02,Product E,Furniture,South,Nina,18940
2025-04-03,Product D,Clothing,North,Sara,15330
2025-04-04,Product C,Furniture,East,Sara,21647
2025-04-05,Product A,Clothing,North,Sara,5308
2025-04-06,Product E,Appliances,North,John,16199
2025-04-07,Product B,Books,East,John,18491
2025-04-08,Product A,Books,West,John,12264
2025-04-09,Product D,Electronics,West,Mike,19872
2025-04-10,Product B,Clothing,South,John,17887
2025-04-11,Product A,Electronics,West,Tom,7714
2025-04-12,Product D,Books,West,Emily,15014
2025-04-13,Product B,Appliances,South,Sara,21309
2025-04-14,Product E,Furniture,East,Mike,10170
2025-04-15,Product D,Furniture,North,Nina,13863
2025-04-16,Product A,Appliances,North,Emily,22295
2025-04-17,Product A,Appliances,West,Sara,5156
2025-04-18,Product D,Furniture,South,Tom,17051
2025-04-19,Product D,Electronics,East,Mike,12263
2025-04-20,Product B,Electronics,East,Nina,16060
2025-04-21,Product A,Appliances,East,Emily,20459
2025-04-22,Product A,Clothing,North,John,7076
2025-04-23,Product E,Electronics,West,Alice,19182
2025-04-24,Product B,Appliances,North,John,20607
2025-04-25,Product C,Furniture,South,John,21572
2025-04-26,Product B,Furniture,South,Sara,10579
2025-04-27,Product D,Electronics,North,John,24068
2025-04-28,Product D,Clothing,East,Nina,14989
2025-04-29,Product A,Furniture,North,Tom,24366
2025-04-30,Product E,Appliances,East,Mike,12529
2025-05-01,Product A,Clothing,West,Sara,21301
2025-05-02,Product A,Appliances,East,Tom,21279
2025-05-03,Product D,Appliances,West,John,13651
2025-05-04,Product D,Clothing,West,Tom,18338
2025-05-05,Product D,Clothing,West,Alice,19839
2025-05-06,Product A,Books,West,Tom,9155
2025-05-07,Product E,Books,North,John,8101
2025-05-08,Product E,Books,North,Alice,17016
2025-05-09,Product B,Appliances,West,Tom,23890
2025-05-10,Product E,Electronics,North,Mike,10489
2025-05-11,Product B,Electronics,West,Nina,18759
2025-05-12,Product A,Books,East,Nina,15116
2025-05-13,Product A,Books,North,Mike,11476
2025-05-14,Product C,Appliances,North,Nina,16064
2025-05-15,Product C,Appliances,North,Nina,19414
2025-05-16,Product A,Electronics,North,Sara,21754
2025-05-17,Product B,Appliances,West,John,21302
2025-05-18,Product D,Furniture,North,Nina,14462
2025-05-19,Product D,Furniture,East,Mike,11592
2025-05-20,Product A,Appliances,West,Raj,14301
2025-05-21,Product D,Books,South,Tom,15835
2025-05-22,Product E,Clothing,North,Nina,6266
2025-05-23,Product C,Furniture,East,Emily,16103
2025-05-24,Product C,Appliances,North,Sara,20440
2025-05-25,Product A,Electronics,North,Tom,12802
2025-05-26,Product C,Clothing,East,Mike,24584
2025-05-27,Product C,Furniture,East,John,11423
2025-05-28,Product B,Appliances,North,Emily,17428
2025-05-29,Product A,Appliances,West,Nina,17118
2025-05-30,Product B,Books,North,Tom,20012
2025-05-31,Product D,Books,North,Alice,9558
2025-06-01,Product E,Clothing,South,Emily,18008
2025-06-02,Product B,Books,South,Raj,6030
2025-06-03,Product A,Electronics,East,Sara,12431
2025-06-04,Product E,Appliances,South,Sara,7429
2025-06-05,Product E,Appliances,East,John,16707
2025-06-06,Product C,Clothing,North,Nina,7708
2025-06-07,Product D,Books,East,Nina,22086
2025-06-08,Product D,Appliances,East,Alice,5082
2025-06-09,Product E,Clothing,North,Sara,24159
2025-06-10,Product D,Furniture,North,Mike,10937
2025-06-11,Product C,Furniture,East,Mike,15232
2025-06-12,Product A,Clothing,South,Raj,18492
2025-06-13,Product A,Electronics,East,Nina,21940
2025-06-14,Product D,Books,East,Raj,19177
2025-06-15,Product B,Appliances,South,Alice,15285
2025-06-16,Product C,Clothing,South,Nina,24380
2025-06-17,Product C,Clothing,West,Tom,20109
2025-06-18,Product B,Appliances,East,Mike,8670
2025-06-19,Product D,Books,West,Raj,15414
2025-06-20,Product B,Electronics,East,Sara,6392
2025-06-21,Product B,Furniture,East,John,19089
2025-06-22,Product C,Books,North,Nina,7801
2025-06-23,Product C,Books,South,John,12555
2025-06-24,Product E,Appliances,East,Mike,7656
2025-06-25,Product D,Clothing,East,Mike,22489
2025-06-26,Product A,Books,South,Tom,7573
2025-06-27,Product C,Clothing,North,Sara,12679
2025-06-28,Product C,Furniture,South,Emily,7774
2025-06-29,Product B,Electronics,East,Mike,12858
2025-06-30,Product D,Books,East,Nina,8466
2025-07-01,Product A,Furniture,North,Emily,15679
2025-07-02,Product C,Clothing,North,Tom,11213
2025-07-03,Product B,Appliances,West,Sara,18327
2025-07-04,Product B,Electronics,West,Emily,15885
2025-07-05,Product C,Appliances,North,Raj,10772
2025-07-06,Product D,Books,South,Sara,15099
2025-07-07,Product B,Appliances,South,Alice,11244
2025-07-08,Product C,Clothing,North,Raj,23936
2025-07-09,Product D,Appliances,South,Emily,13469
2025-07-10,Product D,Furniture,West,Raj,12511
2025-07-11,Product D,Furniture,North,Mike,19500
2025-07-12,Product A,Books,East,Nina,15182
2025-07-13,Product C,Appliances,North,John,18828
2025-07-14,Product A,Electronics,North,Nina,10313
2025-07-15,Product C,Clothing,East,Alice,21852
2025-07-16,Product A,Electronics,West,John,15644
2025-07-17,Product C,Furniture,East,Sara,23596
2025-07-18,Product D,Clothing,South,Sara,15917
2025-07-19,Product C,Electronics,South,Alice,7250
2025-07-20,Product B,Furniture,South,Alice,23803
2025-07-21,Product C,Appliances,South,Alice,7214
2025-07-22,Product B,Furniture,South,Raj,19468
2025-07-23,Product A,Electronics,North,Mike,15755
2025-07-24,Product E,Electronics,North,John,18479
2025-07-25,Product D,Furniture,West,Tom,5854
2025-07-26,Product A,Electronics,North,Mike,24405
2025-07-27,Product D,Books,West,Emily,7088
2025-07-28,Product B,Electronics,South,Raj,20892
2025-07-29,Product E,Furniture,North,Nina,21014
2025-07-30,Product C,Furniture,West,Raj,10715
2025-07-31,Product B,Appliances,South,Nina,5824
2025-08-01,Product C,Clothing,South,John,10840
2025-08-02,Product B,Electronics,East,Tom,19928
2025-08-03,Product A,Clothing,North,Raj,15962
2025-08-04,Product D,Clothing,West,Nina,17331
2025-08-05,Product D,Appliances,North,Tom,6024
2025-08-06,Product A,Clothing,South,Tom,23264
2025-08-07,Product D,Clothing,South,John,11245
2025-08-08,Product D,Furniture,East,John,10665
2025-08-09,Product C,Appliances,South,Alice,22389
2025-08-10,Product B,Electronics,East,Nina,10767
2025-08-11,Product E,Furniture,South,Tom,9763
2025-08-12,Product A,Appliances,East,Alice,14179
2025-08-13,Product D,Clothing,East,John,18508
2025-08-14,Product D,Books,West,Sara,5736
2025-08-15,Product E,Books,North,Tom,8371
2025-08-16,Product C,Books,West,Tom,16927
2025-08-17,Product A,Furniture,West,Nina,19207
2025-08-18,Product A,Furniture,North,Tom,22757
2025-08-19,Product C,Electronics,West,Raj,24944
2025-08-20,Product D,Furniture,West,John,9883
2025-08-21,Product D,Electronics,East,Emily,9876
2025-08-22,Product C,Books,East,Mike,6795
2025-08-23,Product A,Books,North,Tom,21671
2025-08-24,Product B,Clothing,East,Raj,9488
2025-08-25,Product B,Electronics,East,John,20878
2025-08-26,Product D,Books,East,Alice,24369
2025-08-27,Product A,Appliances,East,Tom,15450
2025-08-28,Product B,Books,South,Tom,8843
2025-08-29,Product C,Furniture,West,Raj,24357
2025-08-30,Product D,Furniture,South,Nina,14882
2025-08-31,Product E,Books,East,Raj,13242
2025-09-01,Product D,Electronics,North,Alice,14475
2025-09-02,Product B,Clothing,North,Mike,22322
2025-09-03,Product D,Appliances,North,Mike,16967
2025-09-04,Product A,Clothing,East,Emily,17642
2025-09-05,Product E,Electronics,North,Sara,22806
2025-09-06,Product C,Electronics,North,Raj,11385
2025-09-07,Product E,Books,South,Mike,22958
2025-09-08,Product B,Clothing,West,Mike,13940
2025-09-09,Product A,Electronics,West,John,20835
2025-09-10,Product D,Electronics,South,John,14551
2025-09-11,Product A,Electronics,East,John,5698
2025-09-12,Product E,Furniture,West,Mike,24037
2025-09-13,Product E,Clothing,South,Raj,12945
2025-09-14,Product E,Clothing,North,Nina,14557
2025-09-15,Product C,Furniture,North,Mike,23878
2025-09-16,Product C,Clothing,South,Alice,11357
2025-09-17,Product D,Furniture,North,Mike,17941
2025-09-18,Product E,Clothing,South,Sara,19603
2025-09-19,Product D,Appliances,North,John,15326
2025-09-20,Product A,Electronics,North,Alice,12102
2025-09-21,Product C,Furniture,South,Sara,16556
2025-09-22,Product E,Clothing,South,Alice,19219
2025-09-23,Product C,Books,West,Raj,15313
2025-09-24,Product E,Clothing,South,John,7315
2025-09-25,Product B,Electronics,South,Mike,7476
2025-09-26,Product C,Electronics,East,Emily,24950
